channel,pos,AOI,mean_SNR,sd_SNR,max_SNR,min_SNR,best_z,quality
blue,pos1,1,65.3471905194752,85.22757837467489,273.30141628490435,2.5085755591909793,8,Excellent
blue,pos1,2,52.535702813905004,65.18703797761866,233.12681567781786,8.751190879700749,8,Excellent
blue,pos1,3,63.66384987808585,79.36459338394589,239.79563839296955,2.082204986962925,7,Excellent
blue,pos1,4,26.483553758211183,40.98712683421127,141.61047536397032,1.29115120024308,8,Excellent
blue,pos2,1,88.02223701904987,96.64715707038553,302.83623716852776,3.651052172134463,7,Excellent
blue,pos2,2,43.01720473838492,64.61262138088787,223.51002358366978,1.7796662307914357,8,Excellent
blue,pos2,3,39.74411488267702,64.38831526662959,194.62686692223053,1.447698798423504,8,Excellent
blue,pos3,1,30.50135992442046,39.479283431350744,136.32296619639848,1.3736016340871688,9,Excellent
blue,pos3,2,86.8327322016321,94.84548571917578,312.1561189044425,10.010386356736138,9,Excellent
blue,pos3,3,53.405552885997835,68.74692822830211,205.37754523804412,2.0641208791405927,8,Excellent
blue,pos3,4,39.940850657731104,51.71738899713321,173.50352653525294,2.1335365507503283,9,Excellent
